
EMPTY, TOPLEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, BOTTOMLEFTBRICK,
EMPTY, TOPRIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, RIGHTBRICK, BOTTOMRIGHTBRICK
;
EMPTY, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, STONE, STONE, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, GENERICBRICK, GENERICBRICK, GENERICBRICK, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, STONE, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, STONE,
EMPTY, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE
